O_city,D_city, flow
7,158,325.1
7,159,38.34
8,0,99.6
8,1,75.03
8,2,123.62
8,3,85.2
8,4,103.07
8,5,171.64
8,6,134
8,7,118.32
8,8,606.28
8,9,65.16
8,10,90.03
8,11,158.93
8,12,47.02
8,13,83.74
8,14,287.34
8,15,89.51
8,16,86.35
8,17,62.98
8,18,294.29
8,19,52.45
8,20,86.15
8,21,287.86
8,22,133.76
8,23,77.8
8,24,118.5
8,25,97.43
8,26,74.73
8,27,96.68
8,28,180.89
8,29,132.79
8,30,269.83
8,31,114.84
8,32,86.15
8,33,108.1
8,34,114.43
8,35,543.5
8,36,91.26
8,37,68.32
8,38,304.83
8,39,133.4
8,40,232.48
8,41,93.87
8,42,266.11
8,43,56.11
8,44,130.43
8,45,204.26
8,46,75.4
8,47,235.46
8,48,141
8,49,96.71
8,50,87.42
8,51,52.48
8,52,92.29
8,53,54.28
8,54,253.64
8,55,115.97
8,56,144.2
8,57,85.65
8,58,128.38
8,59,87.73
8,61,75.85
8,62,114.8
8,63,105.78
8,64,116.04
8,65,50.78
8,66,225.82
8,67,201.93
8,69,95.29
8,70,130.96
8,71,111.52
8,72,344.08
8,73,118.61
8,74,100.61
8,75,97.51
8,76,77.38
8,77,136.75
8,78,191.43
8,79,87.97
8,80,79.68
8,81,211.41
8,82,58.39
8,83,113.41
8,84,55.34
8,85,76.55
8,86,144.83
8,87,254.54
8,88,192.63
8,89,66.59
8,90,110.65
8,91,95.66
8,92,98.55
8,93,197.32
8,94,90.97
8,95,184.27
8,97,280.86
8,98,209.92
8,99,85.35
8,100,110.4
8,101,56.99
8,102,156.78
8,103,82.8
8,104,147.7
8,105,116.73
8,106,88.39
8,107,113.83
8,108,108.88
8,109,116.32
8,110,91.38
8,111,70.17
8,112,64.22
8,113,99.09
8,114,79.97
8,115,150.26
8,116,74.24
8,117,145.62
8,118,167.46
8,119,74.24
8,120,212.03
8,121,116.04
8,123,147.05
8,124,55.75
8,125,107.24
8,126,102.1
8,127,177.3
8,128,126
8,129,71.62
8,130,104.72
8,131,102.3
8,132,93.58
8,133,123.09
8,134,204.17
8,135,86.61
8,136,55.7
8,137,155.27
8,138,110.73
8,139,140.78
8,140,63.37
8,141,103.18
8,142,100.95
8,143,353.41
8,144,60.52
8,145,116.03
8,146,71.78
8,147,141.39
8,148,383.76
8,149,189.03
8,150,112.55
8,151,104.09
8,152,70.27
8,153,64.52
8,154,89.28
8,155,38.61
8,156,66.97
8,157,103.26
8,158,273.22
8,159,50.2
9,0,16.92
9,1,22.51
9,2,20.01
9,3,37.05
9,4,27.99
9,5,17.75
9,6,49.9
9,7,37.64
9,8,16.27
9,9,391.55
9,10,36.48
9,11,14.39
9,12,3.72
9,13,57.11
9,14,21.99
9,15,34.21
9,16,28.37
9,17,5
9,18,78.88
9,19,10
9,20,23.86
9,21,111.22
9,22,25.89
9,23,19.45
9,24,130.55
9,25,28.2
9,26,55.77
9,27,21.43
9,28,48.3
9,29,10.6
9,30,117.25
9,31,47.6
9,32,16.15
9,33,135.73
9,34,17.43
9,35,80.82
