Month, ocity_name, dcity_name, Ratio of migration from B to A over total migration into A_monthly average, Ratio of migration from A to B over total migration out of A_monthly 
23-Jun,Tangshan,Xuzhou,0.114166667,0.118333333
23-Jun,Tangshan,Zhoukou,0.090833333,0.116666667
23-Jun,Tangshan,Changsha,0.1025,0.111666667
23-Jun,Tangshan,Puyang,0.095,0.096666667
23-Jun,Tangshan,Wuxi,0.084166667,0.083
23-Jun,Tangshan,Fuyang,0.0725,0.081666667
23-Jun,Tangshan,Hefei,0.088333333,0.0775
23-Jun,Tangshan,Yancheng,0.056666667,0.073333333
23-Jun,Tangshan,Yulin,0.066363636,0.0725
23-Jun,Tangshan,Shangqiu,0.076666667,0.071666667
23-Jun,Tangshan,Luoyang,0.081666667,0.071666667
23-Jun,Tangshan,Nanyang,0.077,0.07
23-Jun,Tangshan,Lvliang,0.179166667,0.069090909
23-Jun,Tangshan,Yuncheng,0.051428571,0.0675
23-Jun,Tangshan,Zhoushan,0.07,0.067142857
23-Jun,Tangshan,Lianyungang,0.066,0.067
23-Jun,Tangshan,Bozhou,0.0625,0.066666667
23-Jun,Tangshan,Xiamen,0.061666667,0.066666667
23-Jun,Tangshan,Changzhou,0.05875,0.065
23-Jun,Tangshan,Shuozhou,0.068181818,0.062727273
23-Jun,Tangshan,Ningbo,0.071,0.062222222
23-Jun,Tangshan,Zhumadian,0.0625,0.062222222
23-Jun,Tangshan,Nantong,0.070909091,0.062
23-Jun,Tangshan,Fuzhou,0.055,0.061666667
23-Jun,Tangshan,Kaifeng,0.054285714,0.06
23-Jun,Tangshan,Wenzhou,0.05,0.06
23-Jun,Tangshan,Suzhou,0.07,0.058571429
23-Jun,Tangshan,Rizhao,0.070909091,0.058
23-Jun,Tangshan,Jiaozuo,0.055,0.058
23-Jun,Tangshan,Linfen,0.0925,0.058
23-Jun,Tangshan,Jinhua,0.053333333,0.0575
23-Jun,Tangshan,Jiaxing,0.05,0.055
23-Jun,Tangshan,Zaozhuang,0.065,0.054
23-Jun,Tangshan,Taizhou,0.065,0.0525
23-Jun,Tangshan,Yangquan,0.061818182,0.0525
23-Jun,Tangshan,Nanchang,0.066,0.05
23-Jun,Tangshan,Changzhi,0.083636364,0.046666667
23-Jun,Tangshan,Xinyang,0.05,0.04
23-Jun,Tangshan,Yangzhou,0.05,0.04
23-Jun,Tangshan,Huzhou,0.05,0.04
23-Jun,Qinhuangdao,Tangshan,21.56333333,21.39416667
23-Jun,Qinhuangdao,Beijing,22.61666667,19.37083333
23-Jun,Qinhuangdao,Tianjin,9.714166667,9.960833333
23-Jun,Qinhuangdao,Chengde,3.155833333,4.706666667
23-Jun,Qinhuangdao,Langfang,3.3725,3.131666667
23-Jun,Qinhuangdao,Shijiazhuang,2.955833333,2.995
23-Jun,Qinhuangdao,Baoding,2.8125,2.884166667
23-Jun,Qinhuangdao,Cangzhou,1.541666667,1.564166667
23-Jun,Qinhuangdao,Hengshui,0.635,1.015
23-Jun,Qinhuangdao,Zhangjiakou,0.795833333,0.905833333
23-Jun,Qinhuangdao,Handan,0.605833333,0.701666667
23-Jun,Qinhuangdao,Xingtai,0.5625,0.656666667
23-Jun,Qinhuangdao,Taiyuan,0.4025,0.493333333
23-Jun,Qinhuangdao,Shanghai,0.654166667,0.439166667
23-Jun,Qinhuangdao,Jinan,0.4125,0.4375
23-Jun,Qinhuangdao,Datong,0.381666667,0.288333333
23-Jun,Qinhuangdao,Qingdao,0.351666667,0.273333333
23-Jun,Qinhuangdao,Xinzhou,0.165,0.241666667
23-Jun,Qinhuangdao,Dezhou,0.225,0.228333333
23-Jun,Qinhuangdao,Zhengzhou,0.240833333,0.226666667
23-Jun,Qinhuangdao,Xi'an,0.2325,0.221666667
23-Jun,Qinhuangdao,Nanjing,0.236666667,0.2025
23-Jun,Qinhuangdao,Zibo,0.178181818,0.2025
23-Jun,Qinhuangdao,Weihai,0.123333333,0.194166667
23-Jun,Qinhuangdao,Jinzhong,0.205,0.194166667
23-Jun,Qinhuangdao,Binzhou,0.168333333,0.174166667
23-Jun,Qinhuangdao,Weifang,0.22,0.168333333
23-Jun,Qinhuangdao,Suzhou,0.1825,0.15
23-Jun,Qinhuangdao,Wuhan,0.149166667,0.149166667
23-Jun,Qinhuangdao,Hangzhou,0.178333333,0.146666667
23-Jun,Qinhuangdao,Yantai,0.184166667,0.143333333
23-Jun,Qinhuangdao,Tai'an,0.094166667,0.1375
23-Jun,Qinhuangdao,Liaocheng,0.145833333,0.136666667
23-Jun,Qinhuangdao,Jiujiang,0.065,0.135
23-Jun,Qinhuangdao,Enshi,0.143333333,0.125
23-Jun,Qinhuangdao,Qianjiang,0.08,0.12
23-Jun,Qinhuangdao,Linyi,0.124166667,0.109166667
23-Jun,Qinhuangdao,Heze,0.103333333,0.109166667
23-Jun,Qinhuangdao,Dongying,0.101818182,0.105
23-Jun,Qinhuangdao,Yangquan,0.127272727,0.104
23-Jun,Qinhuangdao,Anyang,0.081818182,0.099090909
23-Jun,Qinhuangdao,Linfen,0.09,0.094
23-Jun,Qinhuangdao,Changsha,0.088181818,0.093636364
23-Jun,Qinhuangdao,Shuozhou,0.089090909,0.093333333
23-Jun,Qinhuangdao,Xuzhou,0.116666667,0.086666667
23-Jun,Qinhuangdao,Lvliang,0.07625,0.086
23-Jun,Qinhuangdao,Jining,0.105,0.083333333
23-Jun,Qinhuangdao,Hefei,0.116666667,0.075
23-Jun,Qinhuangdao,Xinxiang,0.08125,0.074444444
23-Jun,Qinhuangdao,Yancheng,0.07,0.0725
23-Jun,Qinhuangdao,Ningbo,0.0825,0.072222222
23-Jun,Qinhuangdao,Wuxi,0.101666667,0.071818182
23-Jun,Qinhuangdao,Nanchang,0.048,0.07
23-Jun,Qinhuangdao,Huaibei,0.04,0.07
23-Jun,Qinhuangdao,Jiaozuo,0.06,0.07
23-Jun,Qinhuangdao,Fuzhou,0.065,0.07
23-Jun,Qinhuangdao,Xiangyang,0.04,0.07
23-Jun,Qinhuangdao,Luoyang,0.068333333,0.069
23-Jun,Qinhuangdao,Shangqiu,0.0725,0.068333333
23-Jun,Qinhuangdao,Jinhua,0.0675,0.0625
23-Jun,Qinhuangdao,Fuyang,0.072857143,0.062
23-Jun,Qinhuangdao,Changzhi,0.084,0.06
23-Jun,Qinhuangdao,Kaifeng,0.0475,0.06
23-Jun,Qinhuangdao,Taizhou,0.025,0.06
23-Jun,Qinhuangdao,Huai'an,0.05,0.06
23-Jun,Qinhuangdao,Yiyang,0.07,0.06
23-Jun,Qinhuangdao,Bengbu,0.1,0.06
23-Jun,Qinhuangdao,Yuncheng,0.03,0.06
23-Jun,Qinhuangdao,Zhumadian,0.0575,0.0575
23-Jun,Qinhuangdao,Changzhou,0.064,0.056666667
23-Jun,Qinhuangdao,Zaozhuang,0.07,0.056666667
23-Jun,Qinhuangdao,Jincheng,0.085,0.056666667
23-Jun,Qinhuangdao,Suzhou,0.07,0.055
23-Jun,Qinhuangdao,Zhoushan,0.06,0.053333333
23-Jun,Qinhuangdao,Nanyang,0.03,0.05
23-Jun,Qinhuangdao,Xiamen,0.08,0.05
23-Jun,Qinhuangdao,Yichang,0.08,0.05
