ocity,ox,oy,dcity,dx,dy,strength(%%)
Xiangxi,109.7269,28.6947,Bengbu,117.3254,33.1086,0.0
Xiangxi,109.7269,28.6947,Zhoushan,122.1858,30.0948,0.0
Xiangxi,109.7269,28.6947,Yulin,109.5663,38.0378,0.0
Xiangxi,109.7269,28.6947,Yan'an,109.3152,36.4372,0.0
Xiangxi,109.7269,28.6947,Taizhou,121.1108,28.7727,0.00823
Xiangxi,109.7269,28.6947,Wenzhou,120.4404,27.9037,0.13186
Xiangxi,109.7269,28.6947,Lishui,119.5117,28.1993,0.00537
Xiangxi,109.7269,28.6947,Ningde,119.4734,26.9749,0.0035
Xiangxi,109.7269,28.6947,Tongling,117.5561,30.8842,0.0
Xiangxi,109.7269,28.6947,Jingzhou,112.57,29.9959,0.06732
Xiangxi,109.7269,28.6947,Huaibei,116.7435,33.7266,0.0
Xiangxi,109.7269,28.6947,Yantai,120.8006,37.2408,0.0
Xiangxi,109.7269,28.6947,Xiaogan,113.8793,31.1183,0.00763
Xiangxi,109.7269,28.6947,Wuxi,120.0758,31.5264,0.0
Xiangxi,109.7269,28.6947,Pingdingshan,113.0118,33.7954,0.0
Xiangxi,109.7269,28.6947,Suizhou,113.4241,31.8284,0.0066
Xiangxi,109.7269,28.6947,Xuchang,113.7096,34.0726,0.0
Xiangxi,109.7269,28.6947,Suqian,118.5202,33.7842,0.0
Xiangxi,109.7269,28.6947,Tangshan,118.3359,39.7212,0.0
Xiangxi,109.7269,28.6947,Nanchang,116.019,28.6493,0.01386
Xiangxi,109.7269,28.6947,Pingxiang,113.9025,27.5116,0.02573
Xiangxi,109.7269,28.6947,Changzhi,112.9168,36.4753,0.0
Xiangxi,109.7269,28.6947,Huai'an,118.9638,33.3529,0.0
Xiangxi,109.7269,28.6947,Xinyang,114.8839,32.0812,0.0
Xiangxi,109.7269,28.6947,Yangzhou,119.4742,32.7382,0.0
Xiangxi,109.7269,28.6947,Yichun,114.9727,28.3061,0.01601
Xiangxi,109.7269,28.6947,Baoji,107.2,34.3788,0.0
Xiangxi,109.7269,28.6947,Datong,113.7223,39.8995,0.0
Xiangxi,109.7269,28.6947,Chuzhou,118.1026,32.5442,0.0
Xiangxi,109.7269,28.6947,Jincheng,112.7076,35.6106,0.0
Xiangxi,109.7269,28.6947,Rizhao,119.1351,35.583,0.0
Xiangxi,109.7269,28.6947,Jinhua,119.9521,29.1183,0.10752
Xiangxi,109.7269,28.6947,Longyan,116.7387,25.2928,0.00336
Xiangxi,109.7269,28.6947,Ningbo,121.4607,29.7424,0.30261
Xiangxi,109.7269,28.6947,Putian,118.8895,25.4509,0.0025
Xiangxi,109.7269,28.6947,Changsha,113.1531,28.2269,30.90594
Xiangxi,109.7269,28.6947,Xiangtan,112.6027,27.7316,0.57456
Xiangxi,109.7269,28.6947,Weinan,109.8508,34.95,0.0
Xiangxi,109.7269,28.6947,Zaozhuang,117.3933,34.916,0.0
Xiangxi,109.7269,28.6947,Shangqiu,115.6982,34.2884,0.0
Xiangxi,109.7269,28.6947,Jinzhong,112.9632,37.3273,0.0
Xiangxi,109.7269,28.6947,Liaocheng,115.8806,36.4585,0.0
Xiangxi,109.7269,28.6947,Xianning,114.1752,29.6236,0.02058
Xiangxi,109.7269,28.6947,Changzhou,119.6372,31.6253,0.0
Xiangxi,109.7269,28.6947,Kaifeng,114.5355,34.604,0.0
Xiangxi,109.7269,28.6947,Tianjin,117.334,39.2934,0.0
Xiangxi,109.7269,28.6947,Zhenjiang,119.4536,32.0167,0.0
